"","X","title","description","termsOfService","contact","license","version","used.keys","missing.keys","pam_fit$clustering"
"93","amazonaws.com:mediastore-data",1,1,1,1,1,1,6,0,2
"94","amazonaws.com:meteringmarketplace",1,1,1,1,1,1,6,0,2
"95","amazonaws.com:mobile",1,1,1,1,1,1,6,0,2
"96","amazonaws.com:mobileanalytics",1,1,1,1,1,1,6,0,2
"97","amazonaws.com:monitoring",1,1,1,1,1,1,6,0,2
"98","amazonaws.com:mq",1,1,1,1,1,1,6,0,2
"99","amazonaws.com:mturk-requester",1,1,1,1,1,1,6,0,2
"100","amazonaws.com:opsworks",1,1,1,1,1,1,6,0,2
"101","amazonaws.com:opsworkscm",1,1,1,1,1,1,6,0,2
"102","amazonaws.com:organizations",1,1,1,1,1,1,6,0,2
"103","amazonaws.com:pinpoint",1,0,1,1,1,1,5,1,2
"104","amazonaws.com:polly",1,1,1,1,1,1,6,0,2
"105","amazonaws.com:pricing",1,1,1,1,1,1,6,0,2
"106","amazonaws.com:rds",1,1,1,1,1,1,6,0,2
"107","amazonaws.com:redshift",1,1,1,1,1,1,6,0,2
"108","amazonaws.com:rekognition",1,1,1,1,1,1,6,0,2
"109","amazonaws.com:resource-groups",1,1,1,1,1,1,6,0,2
"110","amazonaws.com:resourcegroupstaggingapi",1,1,1,1,1,1,6,0,2
"111","amazonaws.com:route53",1,0,1,1,1,1,5,1,2
"112","amazonaws.com:route53domains",1,1,1,1,1,1,6,0,2
"113","amazonaws.com:runtime.lex",1,1,1,1,1,1,6,0,2
"114","amazonaws.com:runtime.sagemaker",1,1,1,1,1,1,6,0,2
"115","amazonaws.com:s3",1,0,1,1,1,1,5,1,2
"116","amazonaws.com:sagemaker",1,1,1,1,1,1,6,0,2
"117","amazonaws.com:sdb",1,1,1,1,1,1,6,0,2
"118","amazonaws.com:serverlessrepo",1,1,1,1,1,1,6,0,2
"119","amazonaws.com:servicecatalog",1,1,1,1,1,1,6,0,2
"120","amazonaws.com:servicediscovery",1,1,1,1,1,1,6,0,2
"121","amazonaws.com:shield",1,1,1,1,1,1,6,0,2
"122","amazonaws.com:sms",1,1,1,1,1,1,6,0,2
"123","amazonaws.com:snowball",1,1,1,1,1,1,6,0,2
"124","amazonaws.com:sns",1,1,1,1,1,1,6,0,2
"125","amazonaws.com:sqs",1,1,1,1,1,1,6,0,2
"126","amazonaws.com:ssm",1,1,1,1,1,1,6,0,2
"127","amazonaws.com:states",1,1,1,1,1,1,6,0,2
"128","amazonaws.com:storagegateway",1,1,1,1,1,1,6,0,2
"129","amazonaws.com:streams.dynamodb",1,1,1,1,1,1,6,0,2
"130","amazonaws.com:sts",1,1,1,1,1,1,6,0,2
"131","amazonaws.com:support",1,1,1,1,1,1,6,0,2
"132","amazonaws.com:swf",1,1,1,1,1,1,6,0,2
"133","amazonaws.com:transcribe",1,1,1,1,1,1,6,0,2
"134","amazonaws.com:translate",1,1,1,1,1,1,6,0,2
"135","amazonaws.com:waf",1,1,1,1,1,1,6,0,2
"136","amazonaws.com:waf-regional",1,1,1,1,1,1,6,0,2
"137","amazonaws.com:workdocs",1,1,1,1,1,1,6,0,2
"138","amazonaws.com:workmail",1,1,1,1,1,1,6,0,2
"139","amazonaws.com:workspaces",1,1,1,1,1,1,6,0,2
"140","amazonaws.com:xray",1,1,1,1,1,1,6,0,2
"141","anchore.io",1,1,0,1,1,1,5,1,4
"142","apache.org:qakka",1,1,0,1,1,1,5,1,4
"143","apacta.com",1,1,0,0,0,1,3,3,3
"144","api2cart.com",1,1,1,1,0,1,5,1,5
"145","apigee.net:marketcheck-cars",1,1,0,0,0,1,3,3,3
"146","apimatic.io",1,1,1,1,1,1,6,0,2
