,title,description,termsOfService,contact,license,version
azure.com:compute-containerService,1,1,0,0,0,1
azure.com:compute-disk,1,1,0,0,0,1
azure.com:compute-runCommands,1,1,0,0,0,1
azure.com:compute-skus,1,1,0,0,0,1
azure.com:compute-swagger,1,0,0,0,0,1
azure.com:consumption,1,1,0,0,0,1
azure.com:containerinstance-containerInstance,1,0,0,0,0,1
azure.com:containerregistry,1,0,0,0,0,1
azure.com:containerservices-containerService,1,1,0,0,0,1
azure.com:containerservices-location,1,1,0,0,0,1
azure.com:containerservices-managedClusters,1,1,0,0,0,1
azure.com:cosmos-db,1,1,0,0,0,1
azure.com:customer-insights,1,1,0,0,0,1
azure.com:datacatalog,1,1,0,0,0,1
azure.com:datafactory,1,0,0,0,0,1
azure.com:datalake-analytics-account,1,1,0,0,0,1
azure.com:datalake-analytics-catalog,1,1,0,0,0,1
azure.com:datalake-analytics-job,1,1,0,0,0,1
azure.com:datalake-store-account,1,1,0,0,0,1
azure.com:datalake-store-filesystem,1,1,0,0,0,1
azure.com:datamigration,1,1,0,0,0,1
azure.com:deviceprovisioningservices-iotdps,1,1,0,0,0,1
azure.com:devtestlabs-DTL,1,1,0,0,0,1
azure.com:dns,1,1,0,0,0,1
azure.com:domainservices,1,1,0,0,0,1
azure.com:eventgrid-EventGrid,1,1,0,0,0,1
azure.com:eventhub-EventHub,1,1,0,0,0,1
azure.com:hanaonazure,1,1,0,0,0,1
azure.com:hdinsight-applications,1,1,0,0,0,1
azure.com:hdinsight-capabilities,1,1,0,0,0,1
azure.com:hdinsight-cluster,1,1,0,0,0,1
azure.com:hdinsight-configurations,1,1,0,0,0,1
azure.com:hdinsight-extensions,1,1,0,0,0,1
azure.com:hdinsight-operations,1,1,0,0,0,1
azure.com:hdinsight-scriptActions,1,1,0,0,0,1
azure.com:intune,1,1,0,0,0,1
azure.com:iothub,1,1,0,0,0,1
azure.com:keyvault,1,1,0,0,0,1
azure.com:keyvault-providers,1,1,0,0,0,1
azure.com:keyvault-secrets,1,1,0,0,0,1
azure.com:locationbasedservices,1,1,0,0,0,1
azure.com:logic,1,1,0,0,0,1
azure.com:machinelearning-commitmentPlans,1,1,0,0,0,1
