,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,cluster
1forge.com,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,7,8,8
6-dot-authentiqio.appspot.com,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,9,6,1
adafruit.com,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,11,4,5
adobe.com:aem,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,9,6,1
afterbanks.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,8
agco-ats.com,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6,9,8
airport-web.appspot.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10,5,3
amadeus.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,3
amazonaws.com:AWSMigrationHub,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:acm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:alexaforbusiness,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:apigateway,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:application-autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:appstream,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:appsync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:athena,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:autoscaling-plans,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:batch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:budgets,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloud9,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:clouddirectory,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudformation,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudfront,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudhsm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudhsmv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudsearch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudsearchdomain,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cloudtrail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:codebuild,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:codecommit,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:codedeploy,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:codepipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:codestar,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cognito-identity,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cognito-idp,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cognito-sync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:comprehend,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:config,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:cur,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:datapipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:dax,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:devicefarm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:directconnect,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:discovery,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:dms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ds,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:dynamodb,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ec2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ecr,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ecs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticache,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticbeanstalk,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticfilesystem,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticloadbalancing,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticloadbalancingv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elasticmapreduce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:elastictranscoder,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:email,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:entitlement.marketplace,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:es,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:events,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:firehose,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:gamelift,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:glacier,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:glue,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:greengrass,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:guardduty,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:health,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:iam,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:importexport,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:inspector,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:iot,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:iot-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:iot-jobs-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kinesis,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kinesis-video-archived-media,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kinesis-video-media,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kinesisanalytics,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kinesisvideo,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:kms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:lambda,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:lex-models,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:lightsail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:logs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:machinelearning,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:marketplacecommerceanalytics,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mediaconvert,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:medialive,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mediapackage,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mediastore,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mediastore-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:meteringmarketplace,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mobile,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mobileanalytics,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:monitoring,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mq,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:mturk-requester,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:opsworks,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:opsworkscm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:organizations,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:pinpoint,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:polly,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:pricing,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:rds,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:redshift,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:rekognition,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:resource-groups,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:resourcegroupstaggingapi,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:route53,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:route53domains,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:runtime.lex,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:runtime.sagemaker,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:s3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sagemaker,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sdb,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:serverlessrepo,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:servicecatalog,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:servicediscovery,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:shield,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:snowball,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sns,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sqs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:ssm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:states,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:storagegateway,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:streams.dynamodb,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:sts,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:support,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:swf,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:transcribe,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:translate,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:waf,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:waf-regional,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:workdocs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:workmail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:workspaces,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
amazonaws.com:xray,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,6
anchore.io,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,12,3,11
apache.org:qakka,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,7,8,0
apacta.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4,4
api2cart.com,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,11,4,4
apigee.net:marketcheck-cars,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,10,5,0
