,0
nytimes.com:geo_api,media
nytimes.com:most_popular_api,media
nytimes.com:movie_reviews,media
nytimes.com:semantic_api,media
nytimes.com:times_tags,media
nytimes.com:timeswire,media
nytimes.com:top_stories,media
o2.cz:mobility,telecom
o2.cz:sociodemo,telecom
oceandrivers.com,open_data
omdbapi.com,media
openapi-converter.herokuapp.com,developer_tools
openbanking.org.uk,financial
opencagedata.com,location
opendatanetwork.com,open_data
opendatasoft.com,open_data
openfintech.io,financial
openstf.io,telecom
opentargets.io,open_data
osf.io,open_data
osisoft.com,enterprise
owler.com,search
oxforddictionaries.com,text
paccurate.io,transport
pandorabots.com,machine_learning
passwordutility.net,security
paylocity.com,financial
payments.service.gov.uk:payments,financial
payrun.io,financial
peel-ci.com,media
personio.de:authentication,enterprise
personio.de:personnel,enterprise
phila.gov:pollingplaces,open_data
polygon.io,financial
postmarkapp.com:account,email
postmarkapp.com:server,email
posty-api.herokuapp.com,email
ptv.vic.gov.au,transport
qualpay.com,ecommerce
quotes.rest,open_data
rbaskets.in,developer_tools
rebilly.com,payment
receptive.io,ecommerce
refugerestrooms.org,open_data
reverb.com,ecommerce
ritc.io,cloud
ritekit.com,social
roaring.io,customer_relation
rottentomatoes.com,media
rummblelabs.com,machine_learning
runscope.com,developer_tools
salesloft.com,customer_relation
schooldigger.com,open_data
scrapewebsite.email,email
selectpdf.com,text
semantria.com,social
sendgrid.com,email
shipstation.com,ecommerce
slack.com,collaboration
slicebox.local,collaboration
smart-me.com,iot
spectrocoin.com,ecommerce
spinitron.com,media
spotify.com,media
squareup.com,payment
stackexchange.com,collaboration
staging-ecotaco.com,location
statsocial.com,social
stoplight.io,developer_tools
storecove.com,financial
stormglass.io,location
stripe.com,financial
surrey.ca:open511,open_data
surrey.ca:trafficloops,open_data
swagger.io:generator,developer_tools
swaggerhub.com,developer_tools
synq.fm,media
taggun.io,text
taxamo.com,payment
taxrates.io,financial
tfl.gov.uk,transport
thenounproject.com,media
thesmsworks.co.uk,messaging
thetvdb.com,media
traccar.org,location
transavia.com,transport
trello.com,collaboration
turbinelabs.io,cloud
tvmaze.com,media
twilio.com,telecom
twinehealth.com,support
twitter.com,social
tyk.com,enterprise
uebermaps.com,location
vatapi.com,financial
versioneye.com,open_data
vestorly.com,marketing
victorops.com,developer_tools
visagecloud.com,search
vocadb.net,media
voodoomfg.com,tools
waag.org,open_data
walmart.com:inventory,ecommerce
walmart.com:item,ecommerce
walmart.com:order,ecommerce
walmart.com:price,ecommerce
watchful.li,hosting
waterlinked.com,location
wavecell.com,messaging
wealthport.com,analytics
weatherbit.io,location
weber-gesamtausgabe.de,open_data
whapi.com:accounts,entertainment
whapi.com:bets,entertainment
whapi.com:locations,entertainment
whapi.com:numbers,entertainment
whapi.com:sessions,entertainment
whapi.com:sportsdata,entertainment
who-hosts-this.com,hosting
wikimedia.org,media
windows.net:batch-BatchService,cloud
windows.net:graphrbac,cloud
winning.email,email
winsms.co.za,messaging
wmata.com:bus-realtime,transport
wmata.com:bus-route,transport
wmata.com:incidents,transport
wmata.com:rail-realtime,transport
wmata.com:rail-station,transport
wordassociations.net,text
wordnik.com,text
wowza.com,media
wso2apistore.com:transform,developer_tools
xero.com,financial
xkcd.com,media
yunbi.com,financial
zalando.com,ecommerce
zappiti.com,media
zoom.us,telecom
zoomconnect.com,messaging
zuora.com,financial
