"","X","swagger","info","host","basePath","schemes","consumes","produces","paths","definitions","parameters","responses","securityDefinitions","security","tags","externalDocs","cluster.results$cluster"
"89","amazonaws.com:mediaconvert",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"90","amazonaws.com:medialive",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"91","amazonaws.com:mediapackage",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"92","amazonaws.com:mediastore",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"93","amazonaws.com:mediastore-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"94","amazonaws.com:meteringmarketplace",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"95","amazonaws.com:mobile",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"96","amazonaws.com:mobileanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"97","amazonaws.com:monitoring",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"98","amazonaws.com:mq",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"99","amazonaws.com:mturk-requester",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"100","amazonaws.com:opsworks",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"101","amazonaws.com:opsworkscm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"102","amazonaws.com:organizations",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"103","amazonaws.com:pinpoint",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"104","amazonaws.com:polly",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"105","amazonaws.com:pricing",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"106","amazonaws.com:rds",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"107","amazonaws.com:redshift",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"108","amazonaws.com:rekognition",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"109","amazonaws.com:resource-groups",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"110","amazonaws.com:resourcegroupstaggingapi",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"111","amazonaws.com:route53",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"112","amazonaws.com:route53domains",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"113","amazonaws.com:runtime.lex",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"114","amazonaws.com:runtime.sagemaker",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"115","amazonaws.com:s3",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"116","amazonaws.com:sagemaker",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"117","amazonaws.com:sdb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"118","amazonaws.com:serverlessrepo",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"119","amazonaws.com:servicecatalog",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"120","amazonaws.com:servicediscovery",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"121","amazonaws.com:shield",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"122","amazonaws.com:sms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"123","amazonaws.com:snowball",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"124","amazonaws.com:sns",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"125","amazonaws.com:sqs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"126","amazonaws.com:ssm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"127","amazonaws.com:states",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"128","amazonaws.com:storagegateway",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"129","amazonaws.com:streams.dynamodb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"130","amazonaws.com:sts",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"131","amazonaws.com:support",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"132","amazonaws.com:swf",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"133","amazonaws.com:transcribe",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"134","amazonaws.com:translate",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"135","amazonaws.com:waf",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"136","amazonaws.com:waf-regional",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"137","amazonaws.com:workdocs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"138","amazonaws.com:workmail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"139","amazonaws.com:workspaces",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"140","amazonaws.com:xray",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"141","anchore.io",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,4
"142","apache.org:qakka",1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,4
"143","apacta.com",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,4
"144","api2cart.com",1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
"145","apigee.net:marketcheck-cars",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"146","apimatic.io",1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,3
"147","apis.guru",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,4
"148","apitore.com:2chMatomeFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"149","apitore.com:certificateFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"150","apitore.com:cosineSimilarity",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"151","apitore.com:designFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"152","apitore.com:documentFrequencyApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"153","apitore.com:gameFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"154","apitore.com:japaneseWordnetApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"155","apitore.com:kmeansClusteringByWord2vec",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"156","apitore.com:kuromojiApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"157","apitore.com:languageDetectionApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"158","apitore.com:newsFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"159","apitore.com:pioneerBlogFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"160","apitore.com:rss2jsonApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"161","apitore.com:sentenceSeparatorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"162","apitore.com:sentenceSimilarity",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"163","apitore.com:sentencepieceApis_tweet_",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"164","apitore.com:sentencepieceApis_wikipedia_",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"165","apitore.com:sentimentApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"166","apitore.com:synonymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"167","apitore.com:techFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"168","apitore.com:text2labelByTfidfApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"169","apitore.com:text2labelByWordVectorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"170","apitore.com:travelFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"171","apitore.com:tweetSummarizationApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"172","apitore.com:twitterApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"173","apitore.com:twitterApisWithSentimentByApitoreSentimentApi",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"174","apitore.com:twitterApisWithWord2vecQueryExpansion",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"175","apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"176","apitore.com:url2hrefApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"177","apitore.com:url2htmlApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"178","apitore.com:url2labelByTfidfApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"179","apitore.com:url2labelByWordVectorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"180","apitore.com:url2srcApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"181","apitore.com:url2textApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"182","apitore.com:word2vecApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"183","apitore.com:wordnetApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"184","apitore.com:wordnetHypernymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"185","apitore.com:wordnetHyponymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"186","apitore.com:wordnetSimilarityApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"187","apitore.com:wordnetSynonymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"188","apitore.com:wordnetTranslationApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"189","apitore.com:wordsToVectorsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,4
"190","applicationinsights.io:applicationinsights-AppInsights",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2
"191","appveyor.com",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"192","archive.org:search",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,5
"193","archive.org:wayback",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,5
"194","art19.com",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,6
"195","ato.gov.au",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,4
"196","aucklandmuseum.com",1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,4
"197","authentiq.io",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3
"198","avaza.com",1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,6
"199","aviationdata.systems",1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,2
"200","azure.com:advisor",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"201","azure.com:analysisservices",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"202","azure.com:apimanagement",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"203","azure.com:apimanagement-apimapis",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"204","azure.com:apimanagement-apimauthorizationservers",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"205","azure.com:apimanagement-apimbackends",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"206","azure.com:apimanagement-apimcertificates",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"207","azure.com:apimanagement-apimdeployment",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"208","azure.com:apimanagement-apimdiagnostics",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"209","azure.com:apimanagement-apimemailtemplate",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"210","azure.com:apimanagement-apimgroups",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"211","azure.com:apimanagement-apimidentityprovider",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"212","azure.com:apimanagement-apimloggers",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"213","azure.com:apimanagement-apimnetworkstatus",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"214","azure.com:apimanagement-apimnotifications",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"215","azure.com:apimanagement-apimopenidconnectproviders",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
"216","azure.com:apimanagement-apimproducts",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2
