,implemented fields,missing fields,clusters
amazonaws.com:elasticmapreduce,13,2,2
amazonaws.com:elastictranscoder,13,2,2
amazonaws.com:email,13,2,2
amazonaws.com:entitlement.marketplace,13,2,2
amazonaws.com:es,13,2,2
amazonaws.com:events,13,2,2
amazonaws.com:firehose,13,2,2
amazonaws.com:gamelift,13,2,2
amazonaws.com:glacier,13,2,2
amazonaws.com:glue,13,2,2
amazonaws.com:greengrass,13,2,2
amazonaws.com:guardduty,13,2,2
amazonaws.com:health,13,2,2
amazonaws.com:iam,13,2,2
amazonaws.com:importexport,13,2,2
amazonaws.com:inspector,13,2,2
amazonaws.com:iot,13,2,2
amazonaws.com:iot-data,13,2,2
amazonaws.com:iot-jobs-data,13,2,2
amazonaws.com:kinesis,13,2,2
amazonaws.com:kinesis-video-archived-media,13,2,2
amazonaws.com:kinesis-video-media,13,2,2
amazonaws.com:kinesisanalytics,13,2,2
amazonaws.com:kinesisvideo,13,2,2
amazonaws.com:kms,13,2,2
amazonaws.com:lambda,13,2,2
amazonaws.com:lex-models,13,2,2
amazonaws.com:lightsail,13,2,2
amazonaws.com:logs,13,2,2
amazonaws.com:machinelearning,13,2,2
amazonaws.com:marketplacecommerceanalytics,13,2,2
amazonaws.com:mediaconvert,13,2,2
amazonaws.com:medialive,13,2,2
amazonaws.com:mediapackage,13,2,2
amazonaws.com:mediastore,13,2,2
amazonaws.com:mediastore-data,13,2,2
amazonaws.com:meteringmarketplace,13,2,2
amazonaws.com:mobile,13,2,2
amazonaws.com:mobileanalytics,13,2,2
amazonaws.com:monitoring,13,2,2
amazonaws.com:mq,13,2,2
amazonaws.com:mturk-requester,13,2,2
amazonaws.com:opsworks,13,2,2
amazonaws.com:opsworkscm,13,2,2
amazonaws.com:organizations,13,2,2
amazonaws.com:pinpoint,13,2,2
amazonaws.com:polly,13,2,2
amazonaws.com:pricing,13,2,2
amazonaws.com:rds,13,2,2
amazonaws.com:redshift,13,2,2
amazonaws.com:rekognition,13,2,2
amazonaws.com:resource-groups,13,2,2
amazonaws.com:resourcegroupstaggingapi,13,2,2
amazonaws.com:route53,13,2,2
amazonaws.com:route53domains,13,2,2
amazonaws.com:runtime.lex,13,2,2
amazonaws.com:runtime.sagemaker,13,2,2
amazonaws.com:s3,13,2,2
amazonaws.com:sagemaker,13,2,2
amazonaws.com:sdb,13,2,2
amazonaws.com:serverlessrepo,13,2,2
amazonaws.com:servicecatalog,13,2,2
amazonaws.com:servicediscovery,13,2,2
amazonaws.com:shield,13,2,2
amazonaws.com:sms,13,2,2
amazonaws.com:snowball,13,2,2
amazonaws.com:sns,13,2,2
amazonaws.com:sqs,13,2,2
